"","x"
"1",2015-01-30
"2",2015-02-03
"3",2015-02-06
"4",2015-02-09
"5",2015-02-14
"6",2015-03-16
"7",2015-03-25
"8",2015-04-05
"9",2015-04-20
"10",2015-05-11
"11",2015-06-09
"12",2015-06-11
"13",2015-06-25
"14",2015-07-08
"15",2015-07-12
"16",2015-07-31
"17",2015-08-16
"18",2015-09-06
"19",2015-10-02
"20",2015-10-03
"21",2015-10-08
"22",2015-10-09
"23",2015-10-22
"24",2015-10-31
"25",2015-11-02
"26",2015-11-07
"27",2015-12-21
"28",2015-12-28
"29",2015-12-30
"30",2016-01-15
"31",2016-01-16
"32",2016-01-21
"33",2016-01-23
"34",2016-02-12
"35",2016-02-14
"36",2016-02-29
"37",2016-03-19
"38",2016-03-21
"39",2016-03-23
"40",2016-03-24
"41",2016-04-06
"42",2016-04-16
"43",2016-04-24
"44",2016-05-12
"45",2016-05-24
"46",2016-05-31
"47",2016-06-04
"48",2016-06-09
"49",2016-06-17
"50",2016-06-28
"51",2016-06-29
"52",2016-07-12
"53",2016-07-22
"54",2016-08-06
"55",2016-08-07
"56",2016-08-19
"57",2016-08-25
"58",2016-08-26
"59",2016-08-31
"60",2016-09-02
"61",2016-09-15
"62",2016-09-25
"63",2016-10-01
"64",2016-10-10
"65",2016-10-22
"66",2016-11-17
"67",2016-11-23
"68",2016-11-26
"69",2016-12-05
"70",2016-12-09
"71",2016-12-15
"72",2016-12-22
"73",2016-12-24
"74",2017-01-08
"75",2017-01-24
"76",2017-01-26
"77",2017-01-29
"78",2017-02-18
"79",2017-03-09
"80",2017-04-23
"81",2017-04-26
"82",2017-05-18
"83",2017-05-25
"84",2017-05-26
"85",2017-05-28
"86",2017-06-27
"87",2017-07-02
"88",2017-07-09
"89",2017-09-12
"90",2017-09-15
"91",2017-09-27
"92",2017-10-10
"93",2017-10-12
"94",2017-10-18
"95",2017-10-30
"96",2017-11-04
"97",2017-11-13
"98",2017-11-27
"99",2017-12-04
"100",2017-12-05
